y,ba,ca,sr,cd,ti,zr,sn,hf,,features,hf,rA,rB,t,tA.B,TA.B,dA.O,dB.O,ao,AO,AEN,BEN,en,EN,AEN.P,BEN.P,enp,ENP,AEN.MB,BEN.MB,enmb,ENMB,DA,DB,d,D,ACVW,BCVW,cvw,CVW,AEVW,BEVW,evw,EVW,AD,BD,d1,D1,AEC,BEC,ec,EC,ATC,BTC,tc,TC,AHA,BHA,ha,HA,AHF,BHF,hf0,HF,AEA,BEA,ea,EA,AAV,BAV,av,AV,AP,BP,p,P,AAR,BAR,ar,AR,AAN,BAN,an,AN,ARAM,BRAM,ram,RAM,APE,BPE,pe,PE,NCT,NTO,ZeffA,ZeffB,z,Z,TEA,TEB,te,TE
0.031,64,36,0,0,97.5,2.5,0,0,,,0,151.28,60.7875,1.025801101,9195.933,2.488669546,217.372,181.805,39519.31646,1.195632683,232.8,345.475,80426.58,0.673854838,92.96,153.475,14267.036,0.605701254,111.24,185.6,20646.144,0.599353448,5,24.7,123.5,0.20242915,259.2,215.375,55825.2,1.203482298,295.28,244.325,72144.286,1.20855418,287.48,455.025,130810.587,0.631789462,12640.72,2399.5,30331407.64,5.26806418,8413.6,2191.75,18440507.8,3.838758983,17935.2,47337.25,849003046.2,0.378881325,763.12,1432.125,1092883.23,0.532858514,53398.488,65928.445,3520479279,0.809946117,3364.88,1070.7175,3602835.901,3.142640332,3361.6,1468.25,4935669.2,2.28952835,21428,14732.5,315688010,1.454471407,4304,2245,9662480,1.91714922,10231.736,4895.0925,50085294.16,2.09020279,528,402.5,212520,1.311801242,-2.5,-33.5,643.52,826.325,531756.664,0.778773485,2121.2,852.75,1808853.3,2.487481677
0.085,76,24,0,0,90,10,0,0,,,0,154.52,61.65,1.032775038,9526.158,2.506407137,221.248,182.72,40426.43456,1.210858144,235.2,346.9,81590.88,0.678005189,91.64,151.9,13920.116,0.603291639,110.16,184.4,20313.504,0.597396963,5,23.8,119,0.210084034,262.8,216.5,56896.2,1.213856813,298.52,245.3,73226.956,1.216958826,312.32,470.1,146821.632,0.664369283,9430.48,2398,22614291.04,3.93264387,6222.4,2197,13670612.8,2.832225762,17956.8,48379,868732027.2,0.371169309,746.08,1483.5,1106809.68,0.502918773,52355.292,66015.28,3456249261,0.79307839,3507.92,1095.97,3844575.082,3.200744546,3564.4,1493,5321649.2,2.387407904,21752,14830,322582160,1.466756575,4736,2380,11271680,1.989915966,11398.724,5220.27,59504416.94,2.183550659,552,410,226320,1.346341463,-10,-14,681.68,863.3,588494.344,0.789621221,2100.8,831,1745764.8,2.528038508
0.031,66,34,0,0,96.25,3.75,0,0,,,0,151.82,60.93125,1.026967581,9250.582375,2.491660683,218.018,181.9575,39670.01024,1.198180894,233.2,345.7125,80620.155,0.674548939,92.74,153.2125,14208.92725,0.605303092,111.06,185.4,20590.524,0.599029126,5,24.55,122.75,0.203665988,259.8,215.5625,56003.1375,1.205218904,295.82,244.4875,72324.29225,1.209959609,291.62,457.5375,133427.0858,0.637368522,12105.68,2399.25,29044552.74,5.045610086,8048.4,2192.625,17647123.05,3.670668719,17938.8,47510.875,852288084.5,0.377572503,760.28,1440.6875,1095325.893,0.527720272,53224.622,65942.9175,3509786858,0.807131744,3388.72,1074.92625,3642624.082,3.152513952,3395.4,1472.375,4999302.075,2.306070125,21482,14748.75,316832647.5,1.456530214,4376,2267.5,9922580,1.929878721,10426.234,4949.28875,51602442.64,2.106612592,532,403.75,214795,1.317647059,-3.75,-30.25,649.88,832.4875,541016.9765,0.780648358,2117.8,849.125,1798276.925,2.494096864
0.024,62,38,0,0,98.75,1.25,0,0,,,0,150.74,60.64375,1.024632948,9141.438875,2.485664228,216.726,181.6525,39368.81972,1.193080194,232.4,345.2375,80233.195,0.673159781,93.18,153.7375,14325.26025,0.606098057,111.42,185.8,20701.836,0.599677072,5,24.85,124.25,0.201207243,258.6,215.1875,55647.4875,1.201742666,294.74,244.1625,71964.45525,1.20714688,283.34,452.5125,128214.8918,0.626148449,13175.76,2399.75,31618530.06,5.490471924,8778.8,2190.875,19233253.45,4.006983511,17931.6,47163.625,845719258.1,0.380199783,765.96,1423.5625,1090391.933,0.538058568,53572.354,65913.9725,3531166668,0.812761725,3341.04,1066.50875,3563248.394,3.132688785,3327.8,1464.125,4872315.175,2.272893366,21374,14716.25,314545127.5,1.452408052,4232,2222.5,9405620,1.90416198,10037.238,4840.89625,48589227.79,2.073425556,524,401.25,210255,1.305919003,-1.25,-36.75,637.16,820.1625,522574.7385,0.776870437,2124.6,856.375,1819454.325,2.480922493
0.052,80,20,0,0,82,18,0,0,,,0,155.6,62.57,1.031854515,9735.892,2.486814767,222.54,183.696,40879.70784,1.211458061,236,348.42,82227.12,0.677343436,91.2,150.22,13700.064,0.607109573,109.8,183.12,20106.576,0.599606815,5,22.84,114.2,0.218914186,264,217.7,57472.8,1.212677997,299.6,246.34,73803.464,1.216205245,320.6,486.18,155869.308,0.65942655,8360.4,2396.4,20034862.56,3.4887331,5492,2202.6,12096679.2,2.493416871,17964,49490.2,889041952.8,0.362980954,740.4,1538.3,1138957.32,0.481310538,52007.56,66107.904,3438110784,0.786707139,3555.6,1122.906,3992604.574,3.16642711,3632,1519.4,5518460.8,2.39041727,21860,14934,326457240,1.463773939,4880,2524,12317120,1.933438986,11787.72,5567.126,65623722.49,2.117379775,560,418,234080,1.339712919,-18,-2,694.4,902.74,626862.656,0.769213727,2094,807.8,1691533.2,2.592225798
0.036,75,25,0,0,85,15,0,0,,,0,154.25,62.225,1.028894379,9598.20625,2.478907192,220.925,183.33,40502.18025,1.205067365,235,347.85,81744.75,0.675578554,91.75,150.85,13840.4875,0.608220086,110.25,183.6,20241.9,0.600490196,5,23.2,116,0.215517241,262.5,217.25,57028.125,1.208285386,298.25,245.95,73354.5875,1.212644847,310.25,480.15,148966.5375,0.646152244,9698,2397,23246106,4.045890697,6405,2200.5,14094202.5,2.910702113,17955,49073.5,881114692.5,0.365879752,747.5,1517.75,1134518.125,0.492505353,52442.225,66073.17,3465024048,0.793699243,3496,1112.805,3890366.28,3.141610615,3547.5,1509.5,5354951.25,2.350115932,21725,14895,323593875,1.458543135,4700,2470,11609000,1.902834008,11301.475,5437.055,61446741.16,2.078602295,550,415,228250,1.325301205,-15,-10,678.5,887.95,602474.075,0.764119601,2102.5,816.5,1716691.25,2.575015309
0.045,70,30,0,0,88,12,0,0,,,0,152.9,61.88,1.025924125,9461.452,2.470911441,219.31,182.964,40125.83484,1.198651101,234,347.28,81263.52,0.673807878,92.3,151.48,13981.604,0.609321363,110.7,184.08,20377.656,0.60136897,5,23.56,117.8,0.212224109,261,216.8,56584.8,1.203874539,296.9,245.56,72906.764,1.209073139,299.9,474.12,142188.588,0.632540285,11035.6,2397.6,26458954.56,4.602769436,7318,2198.4,16087891.2,3.328784571,17946,48656.8,873194932.8,0.368828201,754.6,1497.2,1129787.12,0.504007481,52876.89,66038.436,3491907116,0.800698702,3436.4,1102.704,3789332.026,3.116339471,3463,1499.6,5193114.8,2.309282475,21590,14856,320741040,1.453284868,4520,2416,10920320,1.870860927,10815.23,5306.984,57396252.57,2.037923988,540,412,222480,1.310679612,-12,-18,662.6,873.16,578555.816,0.758852902,2111,825.2,1741997.2,2.558167717
0.042,65,35,0,0,91,9,0,0,,,0,151.55,61.535,1.022943703,9325.62925,2.462826034,217.695,182.598,39750.67161,1.192209115,233,346.71,80783.43,0.672031381,92.85,152.11,14123.4135,0.610413517,111.15,184.56,20513.844,0.602243173,5,23.92,119.6,0.2090301,259.5,216.35,56142.825,1.199445343,295.55,245.17,72459.9935,1.205490068,289.55,468.09,135535.4595,0.618577624,12373.2,2398.2,29673408.24,5.159369527,8231,2196.3,18077745.3,3.74766653,17937,48240.1,865282673.7,0.371827587,761.7,1476.65,1124764.305,0.51582975,53311.555,66003.702,3518759989,0.807705528,3376.8,1092.603,3689501.81,3.090601069,3378.5,1489.7,5032951.45,2.26790629,21455,14817,317898735,1.44799892,4340,2362,10251080,1.83742591,10328.985,5176.913,53472256.72,1.995201581,530,409,216770,1.295843521,-9,-26,646.7,858.37,555107.879,0.753404709,2119.5,833.9,1767451.05,2.541671663
0.035,60,40,0,0,94,6,0,0,,,0,150.2,61.19,1.019953058,9190.738,2.454649453,216.08,182.232,39376.69056,1.185741253,232,346.14,80304.48,0.670249032,93.4,152.74,14265.916,0.611496661,111.6,185.04,20650.464,0.60311284,5,24.28,121.4,0.205930807,258,215.9,55702.2,1.194997684,294.2,244.78,72014.276,1.20189558,279.2,462.06,129007.152,0.60425053,13710.8,2398.8,32889467.04,5.715691179,9144,2194.2,20063764.8,4.167350287,17928,47823.4,857377915.2,0.374879243,768.8,1456.1,1119449.68,0.527985715,53746.22,65968.968,3545582667,0.814719733,3317.2,1082.502,3590875.634,3.064382329,3294,1479.8,4874461.2,2.225976483,21320,14778,315066960,1.442685072,4160,2308,9601280,1.802426343,9842.74,5046.842,49674753.63,1.950277025,520,406,211120,1.280788177,-6,-34,630.8,843.58,532130.264,0.747765476,2128,842.6,1793052.8,2.525516259
0.013,55,45,0,0,97,3,0,0,,,0,148.85,60.845,1.01695214,9056.77825,2.446380146,214.465,181.866,39003.89169,1.179247358,231,345.57,79826.67,0.668460804,93.95,153.37,14409.1115,0.612570907,112.05,185.52,20787.516,0.603978008,5,24.64,123.2,0.202922078,256.5,215.45,55262.925,1.190531446,292.85,244.39,71569.6115,1.198289619,268.85,456.03,122603.6655,0.589544548,15048.4,2399.4,36107130.96,6.2717346,10057,2192.1,22045949.7,4.587838146,17919,47406.7,849480657.3,0.377984546,775.9,1435.55,1113843.245,0.540489708,54180.885,65934.234,3572375150,0.821741328,3257.6,1072.401,3493453.498,3.037669678,3209.5,1469.9,4717644.05,2.18348187,21185,14739,312245715,1.437343103,3980,2254,8970920,1.765749778,9356.495,4916.771,46003743.28,1.90297555,510,403,205530,1.265508685,-3,-42,614.9,828.79,509622.971,0.741924975,2136.5,851.3,1818802.45,2.509691061
