»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Version:			4.6.11
»»»  Vision Version:		4.6.5 (R)
»»»  Vision Compiled:		7 December 2011
»»»  Driver Version:		4.6.17
»»»  Tester Name:		PPM21211-813
»»»  Tester S/N:		PPM21211-813                    
»»»  Internal Amp Type:		No Internal Amp
»»»  Internal Amp S/N:		100000
»»»  Execution Count:		0
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:				5/16/2024 - 22:13:28
Configured:			05/16/24 07:33:06 PM
Executed:			05/16/24 10:12:55 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:			
Lot Name:			
Wafer Name:			
Die Row/Column:			0/0
Capacitor Number:		0
Sample Area (cm2):		9.44e-001
Sample Thickness (µm):		1.10e+003

Mux Loop Adjustment:		Disabled

Amplifier:			High Voltage (HVA)
HVI Channel/Port:		1/1
Drive Gain Factor:			1000.00r
Drive Voltage Limit:			4000.00r

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:			PPM21211-813
Tester Serial Number:		PPM21211-813                    
Return Signal Amp. Level:	0.00019

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:			Hyst-2
Volts:				2198.00
Field:				20.00 (kV/cm)
Hysteresis Period (ms):		1.00e+002
Preset:				Enabled
Preset Delay (ms):		1.00e+002
Profile:			Standard Bipolar

Sensor Offset:			0.00  
Sensor Scale:			-0.05 
Sensor Impedance (Ohms):	50
Sensor Label:			%

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:				1017

Valid Data

Point		Time (ms)	Field (kV/cm)	Measured Polarization	Sensor
   1		9.8500e-002	-0.0118		-3.2021		-1.1671e-002
   2		1.9700e-001	-0.0028		-3.1838		-1.1671e-002
   3		2.9550e-001	0.0465		-3.1753		-1.1716e-002
   4		3.9400e-001	0.0833		-3.1507		-1.1731e-002
   5		4.9250e-001	0.1236		-3.1222		-1.1709e-002
   6		5.9100e-001	0.1784		-3.0890		-1.1735e-002
   7		6.8950e-001	0.2548		-3.0512		-1.1899e-002
   8		7.8800e-001	0.3110		-2.9973		-1.1795e-002
   9		8.8650e-001	0.3964		-2.9365		-1.1899e-002
  10		9.8500e-001	0.4332		-2.8715		-1.1813e-002
  11		1.0835e+000	0.5089		-2.7865		-1.1997e-002
  12		1.1820e+000	0.5824		-2.6951		-1.1978e-002
  13		1.2805e+000	0.6442		-2.5923		-1.2015e-002
  14		1.3790e+000	0.7234		-2.4818		-1.1982e-002
  15		1.4775e+000	0.7983		-2.3569		-1.2094e-002
  16		1.5760e+000	0.8761		-2.2260		-1.2288e-002
  17		1.6745e+000	0.9601		-2.0832		-1.2277e-002
  18		1.7730e+000	1.0316		-1.9332		-1.2438e-002
  19		1.8715e+000	1.1031		-1.7705		-1.2520e-002
  20		1.9700e+000	1.1774		-1.6167		-1.2688e-002
  21		2.0685e+000	1.2697		-1.4467		-1.2520e-002
  22		2.1670e+000	1.3315		-1.2712		-1.2815e-002
  23		2.2655e+000	1.4190		-1.0889		-1.2834e-002
  24		2.3640e+000	1.4835		-0.8896		-1.2897e-002
  25		2.4625e+000	1.5849		-0.7009		-1.2935e-002
  26		2.5610e+000	1.6376		-0.5021		-1.2972e-002
  27		2.6595e+000	1.7251		-0.2938		-1.3092e-002
  28		2.7580e+000	1.8105		-0.0695		-1.3212e-002
  29		2.8565e+000	1.8855		0.1549		-1.3189e-002
  30		2.9550e+000	1.9771		0.3827		-1.3200e-002
  31		3.0535e+000	2.0389		0.6236		-1.3010e-002
  32		3.1520e+000	2.1201		0.8599		-1.2942e-002
