»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Version:			4.6.11
»»»  Vision Version:		4.6.5 (R)
»»»  Vision Compiled:		7 December 2011
»»»  Driver Version:		4.6.17
»»»  Tester Name:		PPM21211-813
»»»  Tester S/N:		PPM21211-813                    
»»»  Internal Amp Type:		No Internal Amp
»»»  Internal Amp S/N:		100000
»»»  Execution Count:		0
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:				9/22/2023 - 16:17:15
Configured:			09/22/23 03:55:16 PM
Executed:			09/22/23 04:16:46 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:			
Lot Name:			
Wafer Name:			
Die Row/Column:			0/0
Capacitor Number:		0
Sample Area (cm2):		9.46e-001
Sample Thickness (µm):		1.14e+003

Mux Loop Adjustment:		Disabled

Amplifier:			High Voltage (HVA)
HVI Channel/Port:		1/1
Drive Gain Factor:			1000.00r
Drive Voltage Limit:			4000.00r

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:			PPM21211-813
Tester Serial Number:		PPM21211-813                    
Return Signal Amp. Level:	0.00019

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:			Hyst-2
Volts:				2272.00
Field:				20.00 (kV/cm)
Hysteresis Period (ms):		1.00e+002
Preset:				Enabled
Preset Delay (ms):		1.00e+002
Profile:			Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:				1017

Valid Data

Point		Time (ms)	Field (kV/cm)	Measured Polarization
 106		1.0441e+001	7.9410		11.7204
 107		1.0540e+001	8.0115		11.7730
 108		1.0638e+001	8.1009		11.8163
 109		1.0736e+001	8.1794		11.8757
 110		1.0835e+001	8.2560		11.9232
 111		1.0934e+001	8.3211		11.9669
 112		1.1032e+001	8.4024		12.0139
 113		1.1131e+001	8.4870		12.0632
 114		1.1229e+001	8.5616		12.1077
 115		1.1328e+001	8.6334		12.1565
 116		1.1426e+001	8.7181		12.2031
 117		1.1525e+001	8.8034		12.2430
 118		1.1623e+001	8.8705		12.2909
 119		1.1722e+001	8.9538		12.3329
 120		1.1820e+001	9.0270		12.3800
 121		1.1919e+001	9.1150		12.4245
 122		1.2017e+001	9.1815		12.4695
 123		1.2116e+001	9.2647		12.5030
 124		1.2214e+001	9.3507		12.5480
 125		1.2313e+001	9.4212		12.5870
 126		1.2411e+001	9.5045		12.6231
 127		1.2509e+001	9.5918		12.6650
 128		1.2608e+001	9.6711		12.7011
 129		1.2707e+001	9.7369		12.7469
 130		1.2805e+001	9.8181		12.7864
 131		1.2903e+001	9.8934		12.8194
 132		1.3002e+001	9.9625		12.8610
 133		1.3101e+001	10.0566		12.9034
 134		1.3199e+001	10.1311		12.9344
 135		1.3297e+001	10.2177		12.9755
 136		1.3396e+001	10.2775		13.0107
 137		1.3495e+001	10.3648		13.0459
 138		1.3593e+001	10.4454		13.0765
 139		1.3692e+001	10.5200		13.1215
 140		1.3790e+001	10.5992		13.1541
 141		1.3889e+001	10.6791		13.1897
 142		1.3987e+001	10.7523		13.2199
 143		1.4086e+001	10.8336		13.2593
 144		1.4184e+001	10.9048		13.2924
 145		1.4283e+001	10.9814		13.3280
 146		1.4381e+001	11.0660		13.3645
 147		1.4480e+001	11.1479		13.3891
 148		1.4578e+001	11.2245		13.4269
 149		1.4677e+001	11.3125		13.4599
 150		1.4775e+001	11.3843		13.4901
 151		1.4874e+001	11.4663		13.5223
 152		1.4972e+001	11.5361		13.5537
 153		1.5070e+001	11.6093		13.5897
 154		1.5169e+001	11.6946		13.6203
 155		1.5268e+001	11.7718		13.6461
 156		1.5366e+001	11.8551		13.6831
 157		1.5464e+001	11.9323		13.7183
 158		1.5563e+001	12.0029		13.7446
 159		1.5662e+001	12.0895		13.7730
 160		1.5760e+001	12.1634		13.8065
 161		1.5858e+001	12.2722		13.8315
 162		1.5957e+001	12.3118		13.8595
 163		1.6055e+001	12.3958		13.8943
 164		1.6154e+001	12.4763		13.9219
 165		1.6253e+001	12.5563		13.9482
 166		1.6351e+001	12.6281		13.9817
 167		1.6450e+001	12.7188		14.0071
 168		1.6548e+001	12.7940		14.0347
 169		1.6647e+001	12.8659		14.0724
 170		1.6745e+001	12.9505		14.0932
 171		1.6843e+001	13.0264		14.1195
 172		1.6942e+001	13.1063		14.1552
 173		1.7041e+001	13.1889		14.1751
 174		1.7139e+001	13.2655		14.2031
 175		1.7238e+001	13.3441		14.2336
 176		1.7336e+001	13.4159		14.2548
 177		1.7435e+001	13.5005		14.2866
 178		1.7533e+001	13.5690		14.3083
 179		1.7631e+001	13.6550		14.3422
 180		1.7730e+001	13.7416		14.3634
 181		1.7828e+001	13.8122		14.3935
 182		1.7927e+001	13.8860		14.4122
 183		1.8026e+001	13.9780		14.4419
 184		1.8124e+001	14.0539		14.4707
 185		1.8223e+001	14.1480		14.4928
 186		1.8321e+001	14.2091		14.5233
 187		1.8419e+001	14.2823		14.5488
 188		1.8518e+001	14.3729		14.5687
 189		1.8616e+001	14.4435		14.5971
 190		1.8715e+001	14.5147		14.6239
 191		1.8814e+001	14.5966		14.6451
 192		1.8912e+001	14.6779		14.6743
 193		1.9011e+001	14.7652		14.7019
 194		1.9109e+001	14.8377		14.7240
 195		1.9208e+001	14.9216		14.7439
 196		1.9306e+001	14.9821		14.7723
 197		1.9404e+001	15.0674		14.7952
 198		1.9503e+001	15.1486		14.8118
 199		1.9602e+001	15.2198		14.8436
 200		1.9700e+001	15.2830		14.8661
 201		1.9799e+001	15.3817		14.8924
 202		1.9897e+001	15.4475		14.9102
 203		1.9996e+001	15.5261		14.9356
 204		2.0094e+001	15.6161		14.9568
 205		2.0192e+001	15.7020		14.9865
 206		2.0291e+001	15.7665		15.0039
 207		2.0390e+001	15.8478		15.0264
 208		2.0488e+001	15.9378		15.0535
 209		2.0587e+001	16.0070		15.0752
 210		2.0685e+001	16.0869		15.0934
 211		2.0784e+001	16.1695		15.1184
 212		2.0882e+001	16.2353		15.1439
 213		2.0980e+001	16.3273		15.1664
 214		2.1079e+001	16.4092		15.1863
 215		2.1177e+001	16.4851		15.2088
 216		2.1276e+001	16.5563		15.2325
 217		2.1375e+001	16.6376		15.2537
 218		2.1473e+001	16.7141		15.2733
 219		2.1572e+001	16.8001		15.3004
 220		2.1670e+001	16.8740		15.3157
 221		2.1769e+001	16.9593		15.3390
 222		2.1867e+001	17.0392		15.3619
 223		2.1965e+001	17.1326		15.3852
 224		2.2064e+001	17.1843		15.4077
 225		2.2163e+001	17.2870		15.4260
 226		2.2261e+001	17.3468		15.4434
 227		2.2360e+001	17.4341		15.4709
 228		2.2458e+001	17.5073		15.4866
 229		2.2557e+001	17.5859		15.5095
 230		2.2655e+001	17.6631		15.5278
 231		2.2753e+001	17.7363		15.5536
 232		2.2852e+001	17.8270		15.5736
 233		2.2951e+001	17.9015		15.5944
 234		2.3049e+001	17.9721		15.6143
 235		2.3148e+001	18.0533		15.6380
 236		2.3246e+001	18.1306		15.6520
 237		2.3345e+001	18.2179		15.6754
 238		2.3443e+001	18.2938		15.6974
 239		2.3541e+001	18.3703		15.7140
 240		2.3640e+001	18.4348		15.7339
