»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Version:			4.6.11
»»»  Vision Version:		4.6.5 (R)
»»»  Vision Compiled:		7 December 2011
»»»  Driver Version:		4.6.17
»»»  Tester Name:		PPM21211-813
»»»  Tester S/N:		PPM21211-813                    
»»»  Internal Amp Type:		No Internal Amp
»»»  Internal Amp S/N:		100000
»»»  Execution Count:		0
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:				9/22/2023 - 16:17:15
Configured:			09/22/23 03:55:16 PM
Executed:			09/22/23 04:16:46 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:			
Lot Name:			
Wafer Name:			
Die Row/Column:			0/0
Capacitor Number:		0
Sample Area (cm2):		9.46e-001
Sample Thickness (µm):		1.14e+003

Mux Loop Adjustment:		Disabled

Amplifier:			High Voltage (HVA)
HVI Channel/Port:		1/1
Drive Gain Factor:			1000.00r
Drive Voltage Limit:			4000.00r

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:			PPM21211-813
Tester Serial Number:		PPM21211-813                    
Return Signal Amp. Level:	0.00019

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:			Hyst-2
Volts:				2272.00
Field:				20.00 (kV/cm)
Hysteresis Period (ms):		1.00e+002
Preset:				Enabled
Preset Delay (ms):		1.00e+002
Profile:			Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:				1017

Valid Data

Point		Time (ms)	Field (kV/cm)	Measured Polarization
 421		4.1468e+001	7.1996		13.6631
 422		4.1567e+001	7.1089		13.6334
 423		4.1666e+001	7.0370		13.6050
 424		4.1764e+001	6.9410		13.5660
 425		4.1862e+001	6.8631		13.5414
 426		4.1961e+001	6.7865		13.5015
 427		4.2060e+001	6.7127		13.4727
 428		4.2158e+001	6.6401		13.4396
 429		4.2257e+001	6.5703		13.4023
 430		4.2355e+001	6.4823		13.3675
 431		4.2453e+001	6.4104		13.3267
 432		4.2552e+001	6.3231		13.2962
 433		4.2651e+001	6.2446		13.2521
 434		4.2749e+001	6.1566		13.2228
 435		4.2847e+001	6.0887		13.1813
 436		4.2946e+001	6.0135		13.1477
 437		4.3044e+001	5.9336		13.1045
 438		4.3143e+001	5.8550		13.0667
 439		4.3242e+001	5.7717		13.0230
 440		4.3340e+001	5.6965		12.9827
 441		4.3438e+001	5.6300		12.9399
 442		4.3537e+001	5.5367		12.9043
 443		4.3636e+001	5.4487		12.8619
 444		4.3734e+001	5.3802		12.8182
 445		4.3833e+001	5.3083		12.7724
 446		4.3931e+001	5.2177		12.7223
 447		4.4029e+001	5.1478		12.6795
 448		4.4128e+001	5.0511		12.6366
 449		4.4227e+001	4.9900		12.5912
 450		4.4325e+001	4.8933		12.5471
 451		4.4423e+001	4.8268		12.5009
 452		4.4522e+001	4.7476		12.4517
 453		4.4621e+001	4.6696		12.3987
 454		4.4719e+001	4.5877		12.3541
 455		4.4818e+001	4.5138		12.3015
 456		4.4916e+001	4.4346		12.2545
 457		4.5014e+001	4.3788		12.1925
 458		4.5113e+001	4.2633		12.1437
 459		4.5212e+001	4.1901		12.0920
 460		4.5310e+001	4.1122		12.0326
 461		4.5408e+001	4.0377		11.9762
 462		4.5507e+001	3.9571		11.9228
 463		4.5605e+001	3.8852		11.8621
 464		4.5704e+001	3.8066		11.8048
 465		4.5803e+001	3.7375		11.7493
 466		4.5901e+001	3.6448		11.6810
 467		4.5999e+001	3.5743		11.6254
 468		4.6098e+001	3.4769		11.5588
 469		4.6197e+001	3.4097		11.4935
 470		4.6295e+001	3.3338		11.4324
 471		4.6394e+001	3.2593		11.3637
 472		4.6492e+001	3.1599		11.2929
 473		4.6590e+001	3.1162		11.2271
 474		4.6689e+001	3.0027		11.1567
 475		4.6788e+001	2.9248		11.0791
 476		4.6886e+001	2.8570		11.0065
 477		4.6984e+001	2.7757		10.9306
 478		4.7083e+001	2.6951		10.8530
 479		4.7182e+001	2.6300		10.7805
 480		4.7280e+001	2.5333		10.6969
 481		4.7379e+001	2.4601		10.6214
 482		4.7477e+001	2.3795		10.5361
 483		4.7575e+001	2.3023		10.4517
 484		4.7674e+001	2.2371		10.3644
 485		4.7773e+001	2.1552		10.2676
 486		4.7871e+001	2.0685		10.1769
 487		4.7969e+001	1.9832		10.0899
 488		4.8068e+001	1.9221		9.9873
 489		4.8166e+001	1.8476		9.8897
 490		4.8265e+001	1.7609		9.7934
 491		4.8364e+001	1.6783		9.6899
 492		4.8462e+001	1.5984		9.5839
 493		4.8560e+001	1.5198		9.4736
 494		4.8659e+001	1.4533		9.3625
 495		4.8758e+001	1.3674		9.2492
 496		4.8856e+001	1.3029		9.1271
 497		4.8955e+001	1.2116		9.0040
 498		4.9053e+001	1.1256		8.8823
 499		4.9151e+001	1.0490		8.7542
 500		4.9250e+001	0.9664		8.6193
 501		4.9349e+001	0.8952		8.4798
 502		4.9447e+001	0.8079		8.3436
 503		4.9545e+001	0.7233		8.1981
 504		4.9644e+001	0.6716		8.0518
 505		4.9743e+001	0.5850		7.8995
 506		4.9841e+001	0.5064		7.7362
 507		4.9940e+001	0.4298		7.5759
 508		5.0038e+001	0.3492		7.4003
 509		5.0136e+001	0.2693		7.2166
 510		5.0235e+001	0.1894		7.0334
 511		5.0334e+001	0.1148		6.8446
 512		5.0432e+001	0.0020		6.6427
 513		5.0531e+001	-0.0390		6.4446
 514		5.0629e+001	-0.1323		6.2262
 515		5.0727e+001	-0.1961		6.0009
 516		5.0826e+001	-0.2841		5.7583
 517		5.0925e+001	-0.3573		5.5153
 518		5.1023e+001	-0.4339		5.2569
 519		5.1121e+001	-0.5245		4.9842
 520		5.1220e+001	-0.5769		4.7000
 521		5.1319e+001	-0.6689		4.4022
 522		5.1417e+001	-0.7475		4.0930
 523		5.1516e+001	-0.8241		3.7626
 524		5.1614e+001	-0.9013		3.4228
 525		5.1712e+001	-0.9899		3.0716
 526		5.1811e+001	-1.0685		2.6903
 527		5.1910e+001	-1.1390		2.3081
 528		5.2008e+001	-1.1854		1.9069
 529		5.2106e+001	-1.3056		1.4937
 530		5.2205e+001	-1.3761		1.0827
 531		5.2304e+001	-1.4614		0.6594
 532		5.2402e+001	-1.5480		0.2301
 533		5.2501e+001	-1.6071		-0.1771
 534		5.2599e+001	-1.6978		-0.5873
 535		5.2697e+001	-1.7737		-0.9868
 536		5.2796e+001	-1.8409		-1.3648
 537		5.2895e+001	-1.9208		-1.7346
 538		5.2993e+001	-2.0061		-2.0816
 539		5.3092e+001	-2.0967		-2.4307
 540		5.3190e+001	-2.1740		-2.7514
 541		5.3288e+001	-2.2445		-3.0589
 542		5.3387e+001	-2.3204		-3.3520
 543		5.3486e+001	-2.4023		-3.6336
 544		5.3584e+001	-2.5051		-3.9017
 545		5.3682e+001	-2.5501		-4.1681
 546		5.3781e+001	-2.6454		-4.4217
 547		5.3880e+001	-2.7160		-4.6555
 548		5.3978e+001	-2.8019		-4.8909
 549		5.4077e+001	-2.8617		-5.1076
 550		5.4175e+001	-2.9456		-5.3269
 551		5.4273e+001	-3.0182		-5.5305
 552		5.4372e+001	-3.1028		-5.7307
 553		5.4471e+001	-3.1861		-5.9182
 554		5.4569e+001	-3.2687		-6.1010
 555		5.4667e+001	-3.3466		-6.2783
 556		5.4766e+001	-3.4232		-6.4522
 557		5.4865e+001	-3.5017		-6.6088
 558		5.4963e+001	-3.5743		-6.7789
 559		5.5062e+001	-3.6683		-6.9341
 560		5.5160e+001	-3.7361		-7.0830
 561		5.5258e+001	-3.8194		-7.2302
 562		5.5357e+001	-3.8986		-7.3663
 563		5.5456e+001	-3.9564		-7.5084
 564		5.5554e+001	-4.0511		-7.6412
 565		5.5653e+001	-4.1277		-7.7735
 566		5.5751e+001	-4.2056		-7.8995
 567		5.5849e+001	-4.2969		-8.0191
 568		5.5948e+001	-4.3600		-8.1370
 569		5.6047e+001	-4.4487		-8.2554
 570		5.6145e+001	-4.5239		-8.3691
 571		5.6243e+001	-4.5904		-8.4747
 572		5.6342e+001	-4.6905		-8.5841
 573		5.6441e+001	-4.7496		-8.6919
 574		5.6539e+001	-4.8234		-8.7958
 575		5.6638e+001	-4.9128		-8.8997
 576		5.6736e+001	-5.0007		-8.9947
 577		5.6834e+001	-5.0464		-9.0838
 578		5.6933e+001	-5.1485		-9.1818
 579		5.7032e+001	-5.2123		-9.2759
 580		5.7130e+001	-5.3124		-9.3625
 581		5.7228e+001	-5.3943		-9.4511
 582		5.7327e+001	-5.4554		-9.5364
 583		5.7426e+001	-5.5327		-9.6242
 584		5.7524e+001	-5.6267		-9.7060
 585		5.7623e+001	-5.6898		-9.7900
 586		5.7721e+001	-5.7832		-9.8702
 587		5.7819e+001	-5.8685		-9.9504
 588		5.7918e+001	-5.9410		-10.0187
 589		5.8017e+001	-6.0182		-10.0997
 590		5.8115e+001	-6.0861		-10.1748
 591		5.8214e+001	-6.1734		-10.2422
 592		5.8312e+001	-6.2486		-10.3164
 593		5.8410e+001	-6.3251		-10.3839
 594		5.8509e+001	-6.4118		-10.4522
 595		5.8608e+001	-6.4883		-10.5183
 596		5.8706e+001	-6.5877		-10.5879
 597		5.8804e+001	-6.6428		-10.6502
 598		5.8903e+001	-6.7194		-10.7215
 599		5.9002e+001	-6.8027		-10.7792
 600		5.9100e+001	-6.8779		-10.8471
 601		5.9199e+001	-6.9497		-10.8992
 602		5.9297e+001	-7.0310		-10.9582
 603		5.9395e+001	-7.1109		-11.0265
 604		5.9494e+001	-7.2070		-11.0850
 605		5.9593e+001	-7.2775		-11.1376
 606		5.9691e+001	-7.3487		-11.1974
 607		5.9789e+001	-7.4346		-11.2504
 608		5.9888e+001	-7.5112		-11.3060
 609		5.9986e+001	-7.5817		-11.3637
 610		6.0085e+001	-7.6724		-11.4150
 611		6.0184e+001	-7.7416		-11.4727
 612		6.0282e+001	-7.8114		-11.5172
 613		6.0380e+001	-7.8987		-11.5745
 614		6.0479e+001	-7.9820		-11.6292
 615		6.0578e+001	-8.0559		-11.6776
 616		6.0676e+001	-8.1358		-11.7238
 617		6.0775e+001	-8.2170		-11.7730
 618		6.0873e+001	-8.3017		-11.8235
 619		6.0971e+001	-8.3675		-11.8714
 620		6.1070e+001	-8.4266		-11.9164
 621		6.1169e+001	-8.5287		-11.9664
 622		6.1267e+001	-8.6106		-12.0093
 623		6.1365e+001	-8.6818		-12.0559
 624		6.1464e+001	-8.7704		-12.1077
 625		6.1563e+001	-8.8356		-12.1454
 626		6.1661e+001	-8.9256		-12.1938
 627		6.1760e+001	-8.9941		-12.2354
 628		6.1858e+001	-9.0895		-12.2778
 629		6.1956e+001	-9.1539		-12.3206
 630		6.2055e+001	-9.2325		-12.3686
 631		6.2154e+001	-9.3024		-12.4063
 632		6.2252e+001	-9.3823		-12.4479
 633		6.2350e+001	-9.4676		-12.4911
 634		6.2449e+001	-9.5475		-12.5327
 635		6.2547e+001	-9.6321		-12.5688
 636		6.2646e+001	-9.7107		-12.6163
 637		6.2745e+001	-9.7758		-12.6494
 638		6.2843e+001	-9.8571		-12.6981
 639		6.2941e+001	-9.9316		-12.7312
 640		6.3040e+001	-10.0102		-12.7719
 641		6.3139e+001	-10.0901		-12.8067
 642		6.3237e+001	-10.1822		-12.8440
 643		6.3336e+001	-10.2547		-12.8890
 644		6.3434e+001	-10.3339		-12.9242
 645		6.3532e+001	-10.4031		-12.9569
 646		6.3631e+001	-10.4844		-12.9972
 647		6.3730e+001	-10.5683		-13.0260
 648		6.3828e+001	-10.6496		-13.0672
 649		6.3926e+001	-10.7221		-13.1079
 650		6.4025e+001	-10.7772		-13.1444
 651		6.4124e+001	-10.8719		-13.1783
 652		6.4222e+001	-10.9538		-13.2084
 653		6.4320e+001	-11.0384		-13.2419
 654		6.4419e+001	-11.1110		-13.2771
 655		6.4517e+001	-11.2010		-13.3098
 656		6.4616e+001	-11.2695		-13.3450
 657		6.4715e+001	-11.3467		-13.3781
 658		6.4813e+001	-11.4380		-13.4107
 659		6.4912e+001	-11.5066		-13.4459
 660		6.5010e+001	-11.5818		-13.4786
 661		6.5109e+001	-11.6597		-13.5087
 662		6.5207e+001	-11.7376		-13.5401
 663		6.5305e+001	-11.8202		-13.5715
 664		6.5404e+001	-11.8934		-13.6080
 665		6.5502e+001	-11.9700		-13.6355
 666		6.5601e+001	-12.0465		-13.6674
 667		6.5700e+001	-12.1264		-13.7021
 668		6.5798e+001	-12.2211		-13.7361
 669		6.5897e+001	-12.2762		-13.7653
 670		6.5995e+001	-12.3749		-13.7921
 671		6.6094e+001	-12.4468		-13.8188
 672		6.6192e+001	-12.5281		-13.8502
 673		6.6290e+001	-12.5858		-13.8803
 674		6.6389e+001	-12.7067		-13.9125
 675		6.6487e+001	-12.7584		-13.9460
 676		6.6586e+001	-12.8377		-13.9745
 677		6.6685e+001	-12.9115		-14.0008
 678		6.6783e+001	-13.0009		-14.0271
 679		6.6882e+001	-13.0647		-14.0593
 680		6.6980e+001	-13.1580		-14.0881
 681		6.7079e+001	-13.2178		-14.1132
 682		6.7177e+001	-13.3152		-14.1412
 683		6.7275e+001	-13.3938		-14.1696
 684		6.7374e+001	-13.4683		-14.1959
 685		6.7472e+001	-13.5469		-14.2239
 686		6.7571e+001	-13.6241		-14.2561
 687		6.7669e+001	-13.7101		-14.2803
 688		6.7768e+001	-13.7766		-14.3074
 689		6.7867e+001	-13.8431		-14.3384
 690		6.7965e+001	-13.9129		-14.3664
 691		6.8064e+001	-14.0163		-14.3910
 692		6.8162e+001	-14.0969		-14.4164
 693		6.8260e+001	-14.1674		-14.4444
 694		6.8359e+001	-14.2440		-14.4652
 695		6.8457e+001	-14.3239		-14.4983
 696		6.8556e+001	-14.4106		-14.5225
 697		6.8654e+001	-14.4831		-14.5484
 698		6.8753e+001	-14.5865		-14.5717
 699		6.8852e+001	-14.6389		-14.5984
 700		6.8950e+001	-14.7188		-14.6285
 701		6.9049e+001	-14.8008		-14.6497
 702		6.9147e+001	-14.8726		-14.6752
 703		6.9246e+001	-14.9599		-14.7011
 704		6.9344e+001	-15.0365		-14.7278
 705		6.9442e+001	-15.1097		-14.7541
 706		6.9541e+001	-15.1863		-14.7740
 707		6.9639e+001	-15.2702		-14.8012
 708		6.9738e+001	-15.3515		-14.8270
 709		6.9837e+001	-15.4193		-14.8508
 710		6.9935e+001	-15.5039		-14.8720
 711		7.0034e+001	-15.5838		-14.8996
 712		7.0132e+001	-15.6631		-14.9212
 713		7.0231e+001	-15.7350		-14.9462
 714		7.0329e+001	-15.8202		-14.9670
 715		7.0427e+001	-15.8807		-14.9967
 716		7.0526e+001	-15.9875		-15.0175
 717		7.0624e+001	-16.0472		-15.0370
 718		7.0723e+001	-16.1312		-15.0633
 719		7.0822e+001	-16.2138		-15.0887
 720		7.0920e+001	-16.2877		-15.1121
 721		7.1019e+001	-16.3555		-15.1286
 722		7.1117e+001	-16.4704		-15.1562
 723		7.1216e+001	-16.5476		-15.1812
 724		7.1314e+001	-16.6033		-15.2016
 725		7.1412e+001	-16.6886		-15.2262
 726		7.1511e+001	-16.7672		-15.2499
 727		7.1609e+001	-16.8458		-15.2677
 728		7.1708e+001	-16.9412		-15.2936
 729		7.1807e+001	-17.0157		-15.3195
 730		7.1905e+001	-17.0855		-15.3369
 731		7.2004e+001	-17.1695		-15.3598
 732		7.2102e+001	-17.2420		-15.3789
 733		7.2201e+001	-17.3112		-15.4022
 734		7.2299e+001	-17.4032		-15.4247
 735		7.2397e+001	-17.4663		-15.4523
 736		7.2496e+001	-17.5597		-15.4705
 737		7.2594e+001	-17.6235		-15.4917
 738		7.2693e+001	-17.7115		-15.5138
 739		7.2791e+001	-17.7901		-15.5379
 740		7.2890e+001	-17.8612		-15.5587
 741		7.2989e+001	-17.9445		-15.5778
 742		7.3087e+001	-18.0218		-15.5994
 743		7.3186e+001	-18.0990		-15.6198
 744		7.3284e+001	-18.1856		-15.6427
 745		7.3382e+001	-18.2434		-15.6643
 746		7.3481e+001	-18.3428		-15.6822
 747		7.3579e+001	-18.4160		-15.7038
 748		7.3678e+001	-18.4999		-15.7258
 749		7.3776e+001	-18.5637		-15.7454
 750		7.3875e+001	-18.6463		-15.7661
 751		7.3974e+001	-18.7350		-15.7835
 752		7.4072e+001	-18.8082		-15.8064
 753		7.4171e+001	-18.8666		-15.8255
 754		7.4269e+001	-18.9687		-15.8429
 755		7.4368e+001	-19.0365		-15.8582
 756		7.4466e+001	-19.1171		-15.8883
 757		7.4564e+001	-19.1991		-15.9108
 758		7.4663e+001	-19.2797		-15.9269
 759		7.4761e+001	-19.3616		-15.9439
 760		7.4860e+001	-19.4429		-15.9693
 761		7.4959e+001	-19.5040		-15.9888
 762		7.5057e+001	-19.5967		-16.0045
 763		7.5156e+001	-19.6679		-16.0291
 764		7.5254e+001	-19.7081		-16.0397
 765		7.5353e+001	-19.7088		-16.0503
 766		7.5451e+001	-19.7081		-16.0601
 767		7.5549e+001	-19.6786		-16.0639
 768		7.5648e+001	-19.6685		-16.0690
 769		7.5746e+001	-19.6101		-16.0665
 770		7.5845e+001	-19.5671		-16.0665
 771		7.5944e+001	-19.5181		-16.0741
 772		7.6042e+001	-19.4570		-16.0698
 773		7.6141e+001	-19.4026		-16.0643
 774		7.6239e+001	-19.3327		-16.0652
 775		7.6338e+001	-19.2770		-16.0690
 776		7.6436e+001	-19.2051		-16.0605
 777		7.6534e+001	-19.1312		-16.0580
 778		7.6633e+001	-19.0648		-16.0567
 779		7.6731e+001	-18.9855		-16.0482
 780		7.6830e+001	-18.9197		-16.0495
 781		7.6929e+001	-18.8425		-16.0452
 782		7.7027e+001	-18.7551		-16.0338
 783		7.7126e+001	-18.6819		-16.0355
 784		7.7224e+001	-18.6181		-16.0245
 785		7.7323e+001	-18.5382		-16.0240
 786		7.7421e+001	-18.4744		-16.0185
 787		7.7519e+001	-18.3811		-16.0156
 788		7.7618e+001	-18.3159		-16.0028
 789		7.7716e+001	-18.2212		-16.0003
 790		7.7815e+001	-18.1608		-15.9948
 791		7.7913e+001	-18.0815		-15.9820
 792		7.8012e+001	-17.9875		-15.9816
 793		7.8111e+001	-17.9049		-15.9744
 794		7.8209e+001	-17.8404		-15.9693
 795		7.8308e+001	-17.7652		-15.9562
 796		7.8406e+001	-17.6860		-15.9532
 797		7.8504e+001	-17.6040		-15.9460
 798		7.8603e+001	-17.5342		-15.9434
 799		7.8701e+001	-17.4307		-15.9341
 800		7.8800e+001	-17.3844		-15.9227
 801		7.8898e+001	-17.2870		-15.9214
 802		7.8997e+001	-17.2098		-15.9044
 803		7.9096e+001	-17.1379		-15.8972
 804		7.9194e+001	-17.0520		-15.8887
 805		7.9293e+001	-16.9788		-15.8824
 806		7.9391e+001	-16.8941		-15.8777
 807		7.9490e+001	-16.8068		-15.8684
 808		7.9588e+001	-16.7424		-15.8586
 809		7.9686e+001	-16.6604		-15.8497
 810		7.9785e+001	-16.5906		-15.8366
 811		7.9883e+001	-16.4986		-15.8344
 812		7.9982e+001	-16.4240		-15.8255
 813		8.0081e+001	-16.3468		-15.8090
 814		8.0179e+001	-16.2749		-15.8001
 815		8.0278e+001	-16.1937		-15.7975
 816		8.0376e+001	-16.1030		-15.7835
 817		8.0475e+001	-16.0217		-15.7759
 818		8.0573e+001	-15.9539		-15.7640
 819		8.0671e+001	-15.8740		-15.7572
 820		8.0770e+001	-15.7967		-15.7394
 821		8.0868e+001	-15.7114		-15.7356
 822		8.0967e+001	-15.6322		-15.7203
 823		8.1066e+001	-15.5536		-15.7174
 824		8.1164e+001	-15.4858		-15.7004
 825		8.1263e+001	-15.3938		-15.6906
 826		8.1361e+001	-15.3233		-15.6817
 827		8.1460e+001	-15.2454		-15.6720
 828		8.1558e+001	-15.1809		-15.6554
 829		8.1656e+001	-15.0835		-15.6444
 830		8.1755e+001	-15.0177		-15.6385
 831		8.1853e+001	-14.9210		-15.6325
 832		8.1952e+001	-14.8585		-15.6207
 833		8.2051e+001	-14.7652		-15.6037
 834		8.2149e+001	-14.6933		-15.5944
 835		8.2248e+001	-14.6114		-15.5821
 836		8.2346e+001	-14.5361		-15.5689
 837		8.2445e+001	-14.4589		-15.5579
 838		8.2543e+001	-14.3877		-15.5473
 839		8.2641e+001	-14.3004		-15.5333
 840		8.2740e+001	-14.2286		-15.5184
 841		8.2838e+001	-14.1406		-15.5074
 842		8.2937e+001	-14.0734		-15.4943
 843		8.3035e+001	-13.9942		-15.4815
 844		8.3134e+001	-13.9055		-15.4692
 845		8.3233e+001	-13.8316		-15.4590
 846		8.3331e+001	-13.7390		-15.4417
 847		8.3430e+001	-13.6631		-15.4285
 848		8.3528e+001	-13.5946		-15.4187
 849		8.3626e+001	-13.5073		-15.4052
 850		8.3725e+001	-13.4381		-15.3891
 851		8.3823e+001	-13.3582		-15.3717
 852		8.3922e+001	-13.2829		-15.3645
 853		8.4020e+001	-13.2104		-15.3483
 854		8.4119e+001	-13.1204		-15.3331
 855		8.4218e+001	-13.0492		-15.3216
 856		8.4316e+001	-12.9653		-15.3034
 857		8.4415e+001	-12.8759		-15.2945
 858		8.4513e+001	-12.8081		-15.2745
 859		8.4612e+001	-12.7336		-15.2605
 860		8.4710e+001	-12.6530		-15.2487
 861		8.4808e+001	-12.5778		-15.2313
 862		8.4907e+001	-12.5072		-15.2160
 863		8.5005e+001	-12.4226		-15.1961
 864		8.5104e+001	-12.3360		-15.1833
 865		8.5203e+001	-12.2594		-15.1647
 866		8.5301e+001	-12.1842		-15.1473
 867		8.5400e+001	-12.0922		-15.1354
 868		8.5498e+001	-12.0257		-15.1176
 869		8.5597e+001	-11.9350		-15.0998
 870		8.5695e+001	-11.8659		-15.0837
 871		8.5793e+001	-11.7873		-15.0735
 872		8.5892e+001	-11.7060		-15.0501
 873		8.5990e+001	-11.6234		-15.0311
 874		8.6089e+001	-11.5623		-15.0192
 875		8.6188e+001	-11.4716		-14.9963
 876		8.6286e+001	-11.4004		-14.9789
 877		8.6385e+001	-11.3111		-14.9636
 878		8.6483e+001	-11.2393		-14.9462
 879		8.6582e+001	-11.1587		-14.9233
 880		8.6680e+001	-11.0861		-14.9089
 881		8.6778e+001	-10.9955		-14.8877
 882		8.6877e+001	-10.9196		-14.8754
 883		8.6975e+001	-10.8517		-14.8533
 884		8.7074e+001	-10.7570		-14.8376
 885		8.7172e+001	-10.6845		-14.8135
 886		8.7271e+001	-10.6167		-14.7931
 887		8.7370e+001	-10.5415		-14.7719
 888		8.7468e+001	-10.4595		-14.7549
 889		8.7567e+001	-10.3715		-14.7320
 890		8.7665e+001	-10.2936		-14.7172
 891		8.7763e+001	-10.2251		-14.6934
 892		8.7862e+001	-10.1365		-14.6743
 893		8.7960e+001	-10.0640		-14.6548
 894		8.8059e+001	-9.9907		-14.6349
 895		8.8157e+001	-9.9081		-14.6120
 896		8.8256e+001	-9.8302		-14.5912
 897		8.8355e+001	-9.7436		-14.5674
 898		8.8453e+001	-9.6731		-14.5496
 899		8.8552e+001	-9.5898		-14.5208
 900		8.8650e+001	-9.4904		-14.5004
 901		8.8749e+001	-9.4286		-14.4767
 902		8.8847e+001	-9.3588		-14.4495
 903		8.8945e+001	-9.2809		-14.4300
 904		8.9044e+001	-9.2016		-14.4037
 905		8.9142e+001	-9.1076		-14.3791
 906		8.9241e+001	-9.0471		-14.3583
 907		8.9340e+001	-8.9699		-14.3358
 908		8.9438e+001	-8.8819		-14.3108
 909		8.9537e+001	-8.8027		-14.2900
 910		8.9635e+001	-8.7308		-14.2595
 911		8.9734e+001	-8.6475		-14.2332
 912		8.9832e+001	-8.5730		-14.2133
 913		8.9930e+001	-8.4964		-14.1776
 914		9.0029e+001	-8.4212		-14.1530
 915		9.0127e+001	-8.3279		-14.1327
 916		9.0226e+001	-8.2573		-14.1026
 917		9.0325e+001	-8.1848		-14.0780
 918		9.0423e+001	-8.1062		-14.0432
 919		9.0522e+001	-8.0169		-14.0241
 920		9.0620e+001	-7.9410		-13.9897
 921		9.0719e+001	-7.8604		-13.9706
 922		9.0817e+001	-7.7845		-13.9350
 923		9.0915e+001	-7.7194		-13.9045
 924		9.1014e+001	-7.6267		-13.8752
 925		9.1112e+001	-7.5340		-13.8455
 926		9.1211e+001	-7.4743		-13.8133
 927		9.1310e+001	-7.3849		-13.7895
 928		9.1408e+001	-7.3178		-13.7560
 929		9.1507e+001	-7.2298		-13.7229
 930		9.1605e+001	-7.1398		-13.6962
 931		9.1704e+001	-7.0673		-13.6640
 932		9.1802e+001	-7.0048		-13.6275
 933		9.1900e+001	-6.9061		-13.5940
 934		9.1999e+001	-6.8463		-13.5660
 935		9.2097e+001	-6.7563		-13.5320
 936		9.2196e+001	-6.6979		-13.4956
 937		9.2294e+001	-6.6025		-13.4608
 938		9.2393e+001	-6.5481		-13.4273
 939		9.2492e+001	-6.4534		-13.3849
 940		9.2590e+001	-6.3722		-13.3573
 941		9.2689e+001	-6.2848		-13.3153
 942		9.2787e+001	-6.2237		-13.2801
 943		9.2885e+001	-6.1445		-13.2419
 944		9.2984e+001	-6.0565		-13.2059
 945		9.3082e+001	-5.9813		-13.1668
 946		9.3181e+001	-5.9020		-13.1295
 947		9.3279e+001	-5.8100		-13.0884
 948		9.3378e+001	-5.7415		-13.0464
 949		9.3477e+001	-5.6515		-13.0044
 950		9.3575e+001	-5.5824		-12.9628
 951		9.3674e+001	-5.5051		-12.9174
 952		9.3772e+001	-5.4185		-12.8746
 953		9.3871e+001	-5.3325		-12.8347
 954		9.3969e+001	-5.2680		-12.7889
 955		9.4067e+001	-5.1888		-12.7503
 956		9.4166e+001	-5.1022		-12.6986
 957		9.4264e+001	-5.0175		-12.6583
 958		9.4363e+001	-4.9490		-12.6103
 959		9.4462e+001	-4.8718		-12.5556
 960		9.4560e+001	-4.7939		-12.5145
 961		9.4659e+001	-4.7073		-12.4602
 962		9.4757e+001	-4.6448		-12.4144
 963		9.4856e+001	-4.5582		-12.3643
 964		9.4954e+001	-4.4843		-12.3138
 965		9.5052e+001	-4.3956		-12.2587
 966		9.5151e+001	-4.3231		-12.2074
 967		9.5249e+001	-4.2351		-12.1531
 968		9.5348e+001	-4.1512		-12.0971
 969		9.5447e+001	-4.0726		-12.0424
 970		9.5545e+001	-3.9886		-11.9898
 971		9.5644e+001	-3.9215		-11.9300
 972		9.5742e+001	-3.8442		-11.8680
 973		9.5841e+001	-3.7543		-11.8137
 974		9.5939e+001	-3.6891		-11.7446
 975		9.6037e+001	-3.6031		-11.6882
 976		9.6136e+001	-3.5427		-11.6296
 977		9.6234e+001	-3.4386		-11.5597
 978		9.6333e+001	-3.3815		-11.5024
 979		9.6432e+001	-3.3009		-11.4299
 980		9.6530e+001	-3.2129		-11.3658
 981		9.6629e+001	-3.1324		-11.2933
 982		9.6727e+001	-3.0591		-11.2220
 983		9.6826e+001	-2.9692		-11.1503
 984		9.6924e+001	-2.9148		-11.0791
 985		9.7022e+001	-2.8395		-11.0082
 986		9.7121e+001	-2.7408		-10.9238
 987		9.7219e+001	-2.6649		-10.8466
 988		9.7318e+001	-2.5830		-10.7749
 989		9.7416e+001	-2.5118		-10.6910
 990		9.7515e+001	-2.4278		-10.6002
 991		9.7614e+001	-2.3553		-10.5209
 992		9.7712e+001	-2.2781		-10.4314
 993		9.7811e+001	-2.2035		-10.3414
 994		9.7909e+001	-2.1122		-10.2558
 995		9.8007e+001	-2.0370		-10.1654
